,userID,username,cap_universal,cap_english,english_astroturf,english_fake_follower,english_financial,english_other,english_overall,english_self_declared,english_spammer,universal_astroturf,universal_fake_follower,universal_financial,universal_other,universal_overall,universal_self_declared,universal_spammer,status
1160,830391134,@gamefiend,0.743720537,0.794672311,2.8,1,1.6,2,2,0.1,0.1,3.4,0.6,0.8,1.4,1.2,0,0,active
1161,9.49643E+17,@mcclaraholly,0.773345711,0.78522107,2.1,0.4,1,2.3,1.6,0,0.2,1.6,0.6,0.9,2.3,1.4,0,0.2,active
1162,71036272,@iwv,0.805002937,0.795728228,2.6,2,0,1.9,2.1,0,0,2,1.4,0,1.6,2.3,0,0,active
1163,1.25069E+18,@avatarquartz,0.598241997,0.75462187,0.6,1.6,0.6,1.8,1.3,0.1,0.8,0.5,1,0.6,1.5,0.7,0,0.4,active
1164,31947076,@tallulah_river,0.465839247,0.25204197,0.8,0.3,0,0.4,0.1,0,0.1,1.2,0.2,0,0.5,0.4,0,0,active
1165,2482893582,@iowadeplorable,0.376789964,0.419722242,2.6,0,0.2,0.7,0.4,0,0,2.4,0.4,0,0.7,0.3,0,0,active
1166,2799239428,@ashleybrook88,0.694516142,0.659646495,2.5,0.4,1.2,1.4,0.9,0,0.1,2.7,1,0.6,1.6,1,0,0,active
1167,221858588,@fsistanford,0.786564267,0.797103748,1.4,0.4,0,2.7,2.7,0,0,0.4,0.2,0,1.4,1.5,0,0,active
1168,1.31113E+18,@ktbraa10,0.805221689,0.798989041,1.2,1.8,1.5,3.6,3.6,0.2,0.4,1,2.5,1.2,3,3,0.6,0.2,active
1169,1.10159E+18,@nomytruthbs1,0.317394501,0.2263183,0.6,0,0.2,0.4,0,0,0.2,1,0,0.1,0.2,0.2,0,0.1,active
1170,4854462706,@spencershuppy,0.574268603,0.621687024,0.6,0.2,0.3,0.6,0.8,0.1,0.1,0.4,0.2,0,0.2,0.6,0,0,active
1171,1.19612E+18,@jasonzebrasan,0.786564267,0.738478317,0.4,1.4,0.8,1.4,1.2,0,0,0.3,1,0.5,1.8,1.5,0,0.2,active
1172,545676751,@bnutt1232,0.743720537,0.79685994,2,2.7,1.4,2.9,2.9,0.2,0,1.2,2.5,0.6,2,1.2,0.2,0,active
1173,8.21083E+17,@1thom1,0.641587017,0.705337782,1,1,1.4,1.6,1,0,0,0.7,0.4,0.5,1.7,0.8,0,0,active
1174,7.93252E+17,@lori_lanigan,0.465839247,0.502712294,1.4,0.2,0.2,0.3,0.6,0,0,1.2,0.4,0.3,0.7,0.4,0,0,active
1175,7.67113E+17,@joodleslou,0.708983079,0.771781329,2.2,0.8,1.6,1.9,1.4,0,0,2.4,0.8,0.5,1.8,1,0,0.1,active
1176,3244525306,@darcymclennan,0.465839247,0.447946558,0.9,0.4,0.2,0.7,0.4,0,0,0.6,0.5,0.1,0.6,0.4,0,0,active
1177,597674628,@effiegib,0.79471081,0.738478317,2.8,0.5,0.2,1.8,1.2,0,0,3.2,0.4,0.1,1.4,1.6,0,0,active
1178,123726781,@concym,0.792436791,0.805478436,2.7,2.3,1.4,3.8,3.8,0.2,0.2,2.1,2.2,0.8,2.8,1.6,0.6,0,active
1179,84129211,@jeffbrownok,0.782826526,0.797075908,3.4,2.7,1.6,3.4,3.4,0.2,0.2,2.9,2.3,0.5,2.4,1.4,0.4,0.2,active
1180,7.14662E+17,@soyladiestra,0.317394501,0.641418422,1,0.6,0.6,2.8,0.8,0.1,0.1,1.3,0.2,0.1,0.8,0.2,0,0,active
1181,8.64499E+17,@marievognar,0.406739786,0.419722242,0.6,0.5,0,0.1,0.4,0.2,0,0.8,0.6,0.1,1.3,0.4,0,0,active
1182,308845262,@momuar42,0.743720537,0.789229469,3.2,1.6,1.6,2.3,1.8,0.1,0,3.4,0.8,0.8,1.8,1.2,0,0.1,active
1183,3304499628,@stephphilip8,0.92706858,0.923535424,4.8,3,0.3,2.3,4.8,0.2,0.1,4.9,1.8,0.2,1.9,4.9,0,0,active
1184,1.25387E+18,@victorogoda,0.494490727,0.641418422,0.4,2,0,0.8,0.8,0,0.2,0.6,1.6,0,1.2,0.5,0.2,0.1,active
1185,none,@trumpqueen117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,deleted
1186,22531716,@mrayem,0.842103164,0.812935016,4,2.3,0.8,3.2,4,0.4,0.2,4.3,2.7,0.9,2.2,4.3,0.6,0.3,active
1187,8.22649E+17,@jwenzel111,0.807491077,0.798989041,3.6,2.6,1.2,2.8,3.6,0.2,0,3.6,2.4,1.1,1.9,3.6,0,0.2,active
1188,3575232857,@gabriel23duarte,0.465839247,0.553972572,0.2,0.4,0.8,2.6,0.6,0,0.2,0.3,0.2,0.2,0.6,0.4,0,0,active
1189,145525983,@bohdanam,0.522239872,0.362645641,0.9,0.2,0,0.4,0.3,0,0,1.2,0,0,0.5,0.6,0,0.1,active
1190,31579226,@vhalen67,0.859576255,0.874857504,4.6,2.9,1.6,3.1,4.6,0.2,0.2,4.4,2.3,1,2.1,4.4,0.2,0.2,active
1191,126848605,@leonemesis,0.792436791,0.796597152,0.6,2.5,1.2,3.2,3.2,0.2,0.5,0.5,1.4,0.4,1.8,1.6,0,0.2,active
1192,21395305,@sharinlife,0.436508148,0.306188072,2.1,0.3,0,0.6,0.2,0,0,2,0.2,0,1,0.4,0,0,active
1193,1.2919E+18,@baldridge_pam,0.93384195,0.891231856,4.6,2.4,1,2.9,4.6,0,0.2,5,2.2,0.7,2.7,5,0.3,0.2,active
1194,254897970,@brianoverholt,0.465839247,0.705337782,1.2,0.4,0.7,1,1,0,0,1.3,0.2,0.6,1.2,0.4,0,0,active
1195,8.12096E+17,@chpieratt1,0.760577756,0.717691108,1.2,0.5,0.3,2.1,1.1,0,0,1,0.5,0.1,1.8,1.2,0,0.2,active
1196,3001792391,@lindasomero,0.896387238,0.812935016,4,2.4,1.4,2.7,4,0.4,0.4,4.7,2.3,1.4,2.6,4.7,0.3,0.2,active
1197,944677376,@texashotmomma,0.814841753,0.812935016,4,0.9,0,1.2,4,0,0,3.9,0.6,0,0.7,3.9,0,0,active
1198,7.81536E+17,@jaymeb1962,0.598241997,0.738478317,3.5,1,0.4,2.2,1.2,0,0.2,2.9,1.4,0.6,1.6,0.7,0,0.1,active
1199,944677376,@texashotmomma,0.814841753,0.812935016,4,0.9,0,1.2,4,0,0,3.9,0.6,0,0.7,3.9,0,0,active
1200,1.06879E+18,@tommyc37489798,0.805308577,0.796862475,0.8,1.2,1.7,3.4,3.4,0.2,0.4,0.8,1,0.8,2.9,2.9,0,0.2,active
1201,2306165451,@hawkfanhefe360,0.819347825,0.80214817,3.8,3.2,2.6,3.2,3.8,0.2,0.4,4,3,1.4,2.7,4,0.6,0.4,active
1202,202500154,@partyoevents,0.346921018,0.278725998,0.8,0,0.1,0.2,0.2,0,0,1.2,0,0,0.4,0.2,0,0,active
